DateTime,Magnitude,Latitude,Longitude,Depth
0006-08-18 14:24:35,0.7,-46.4,-76.13,72.68
0009-10-06 14:20:19,0.0,-62.66,-116.72,458.09
0014-02-12 18:07:02,0.29,88.23,-41.69,257.92
0016-10-18 00:03:19,0.29,-62.09,-124.53,488.06
0017-06-04 21:15:41,0.44,71.66,-92.94,475.01
0019-09-15 09:53:34,0.25,28.61,-139.59,402.22
0021-08-20 21:55:39,1.7,-57.59,173.17,81.92
0025-05-14 09:46:36,0.53,89.2,-111.33,339.94
0025-05-25 05:41:33,1.72,-88.86,-55.53,164.52
0028-01-13 10:09:48,0.12,60.74,108.02,580.72
0033-02-23 10:34:51,0.56,59.62,83.59,606.59
0043-09-04 07:50:38,0.13,3.06,116.41,440.44
0045-05-01 03:23:46,0.07,14.05,127.03,735.36
0046-07-12 21:58:28,0.18,-40.49,-48.54,76.81
0046-09-18 02:42:30,0.06,42.67,179.73,154.72
0047-02-27 06:50:28,0.06,3.8,116.34,308.8
0049-10-06 19:45:07,0.99,28.27,70.35,70.21
0050-02-22 09:24:43,0.07,67.54,-80.71,681.99
0053-11-19 08:53:16,0.5,-23.2,-179.68,15.34
0056-07-27 07:01:16,1.15,62.69,-77.97,466.49
0057-07-27 13:02:33,1.95,49.99,-151.51,508.88
0060-04-16 19:28:31,1.11,21.82,119.47,312.4
0061-10-05 07:52:36,0.13,72.86,-58.49,1.17
0061-10-23 18:40:51,0.39,60.23,-121.05,643.05
0062-11-24 02:12:50,0.14,26.76,57.97,505.4
0063-09-10 07:03:09,0.4,54.61,-61.31,144.96
0065-02-18 00:04:23,0.02,-60.09,-7.4,503.77
0065-12-21 10:07:16,0.19,8.55,-48.67,601.85
0067-04-10 02:04:16,0.24,14.91,-165.28,469.03
0067-04-19 22:48:11,0.69,-60.04,-5.28,468.63
0069-02-02 13:31:55,0.05,-71.6,-66.31,266.16
0074-02-20 09:24:26,0.18,56.58,-157.23,191.1
0078-08-26 13:52:07,1.64,-36.68,-95.06,108.62
0079-05-28 00:02:23,1.26,-36.7,143.19,400.28
0081-03-27 22:31:38,0.12,56.51,54.0,381.36
0081-11-26 16:20:02,0.4,22.12,-94.01,214.76
0082-11-08 22:18:32,0.36,-55.64,-153.44,361.77
0084-05-18 08:14:29,0.06,-87.1,92.54,380.85
0093-05-10 12:12:44,0.04,-57.68,-43.81,119.68
0096-11-02 12:15:52,0.03,-83.75,44.67,793.1
0097-06-19 08:03:26,0.24,-10.34,89.96,582.83
0101-06-18 17:17:14,0.11,44.72,65.1,417.29
0102-11-12 06:19:49,0.09,55.9,-71.37,340.52
0106-02-09 16:04:43,0.08,-47.03,-38.6,168.21
0108-01-25 09:24:18,0.85,53.14,-144.16,278.09
0118-09-22 04:46:56,0.6,-51.64,-94.62,761.23
0120-01-13 04:05:00,0.28,-3.85,-111.8,476.98
0121-02-25 18:09:27,0.11,31.51,-99.98,661.67
0124-06-21 03:18:23,0.4,52.16,163.22,699.83
0125-01-23 01:44:49,0.15,77.47,165.78,600.12
0127-12-20 21:44:25,0.59,-43.95,-152.21,611.62
0128-12-21 15:28:52,0.13,68.58,-3.5,719.53
0129-06-12 07:03:49,0.3,86.92,-40.76,367.15
0130-09-15 00:35:20,0.29,-68.83,-97.86,622.03
0131-06-06 11:11:37,0.2,-49.25,125.54,145.46
0131-08-16 17:29:40,0.48,-17.81,-1.12,490.0
0134-12-25 03:08:47,0.16,-85.07,120.65,143.33
0135-05-22 08:02:35,0.32,-80.9,-87.75,78.8
0139-08-24 13:50:56,0.26,77.65,43.86,654.68
0140-08-08 12:57:42,0.11,-6.21,92.03,363.27
0140-11-16 02:10:13,0.05,10.87,-6.52,440.03
0144-12-02 02:13:22,0.89,39.51,26.1,472.16
0153-05-21 01:43:04,0.92,-1.71,-51.39,505.1
0153-08-08 19:24:22,0.55,-64.1,137.32,374.8
0157-08-07 19:52:40,0.54,-32.16,146.36,280.63
0161-12-20 00:51:50,0.14,-13.43,76.0,324.01
0163-01-09 02:10:32,0.46,-77.13,136.82,297.32
0165-10-27 18:09:20,0.01,40.05,-13.09,1.69
0168-07-23 15:32:07,0.97,-43.27,-29.17,22.88
0179-05-08 14:41:11,0.15,-83.77,76.28,606.8
0181-11-17 11:36:02,0.08,-48.97,47.02,84.81
0182-01-26 22:35:44,0.24,-50.74,116.03,758.41
0182-03-15 01:09:26,0.3,67.94,-152.83,728.42
0186-10-06 03:23:51,0.68,7.24,158.65,236.25
0188-05-09 11:29:07,0.87,-53.29,10.78,401.52
0188-12-01 15:44:05,1.06,73.64,134.52,15.35
0189-05-15 20:28:14,0.32,58.64,59.03,341.34
0192-10-16 11:26:22,0.85,9.16,173.1,694.41
0196-08-04 12:15:37,0.36,-8.95,-131.12,393.85
0198-11-15 23:20:30,1.41,-27.37,-167.55,90.06
0199-03-13 03:02:59,0.25,-8.48,-134.03,450.09
0202-11-27 11:19:53,0.01,-73.09,11.45,297.34
0203-01-12 03:12:59,0.18,-74.6,-49.91,253.96
0203-05-13 04:28:42,0.17,1.86,-115.49,682.84
0204-04-27 08:13:55,0.22,37.69,-62.5,399.21
0207-07-22 17:44:31,0.17,-58.79,53.63,96.22
0209-02-24 18:40:31,0.29,89.59,-77.75,780.99
0209-07-06 15:42:00,0.2,82.25,23.64,553.72
