Year,Month,Day,Hour,Minute,Second,LAT,LONG,DEP,MAG,NPH,GAP,DMIN,RMS,SEO,SEH,SEZ,Q,COMMENTS
1974,6,29,9,27,9,36.36000,-89.28000,5.0000,1.6,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,D,lg 600001 TEIC catalog event
1974,7,4,13,58,6,36.25000,-89.51000,5.0000,1.8,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,D,lg 600002 TEIC catalog event
1974,7,7,17,13,17,36.80000,-89.01000,5.0000,2.5,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,D,lg 600003 TEIC catalog event
1974,7,7,21,2,8,36.75000,-89.06000,5.0000,1.9,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,D,lg 600004 TEIC catalog event
1974,7,9,4,15,36,36.54000,-89.69000,5.0000,1.4,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,D,lg 600005 TEIC catalog event
1974,7,9,9,51,14,36.80000,-89.43000,5.0000,2.0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,D,lg 600006 TEIC catalog event
1974,7,15,8,37,28,36.02000,-89.90000,5.0000,1.6,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,D,lg 600007 TEIC catalog event
1974,7,15,21,37,53,36.23000,-89.35000,5.0000,1.6,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,D,lg 600008 TEIC catalog event
1974,7,18,0,0,19,36.29000,-89.53000,5.0000,2.2,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,D,lg 600009 TEIC catalog event
1974,7,19,6,44,28,36.38000,-89.54000,5.0000,1.8,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,D,lg 600010 TEIC catalog event
1974,7,19,7,20,26,36.59000,-89.61000,5.0000,1.1,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,D,lg 600011 TEIC catalog event
1974,7,20,11,8,32,36.66000,-90.69000,5.0000,1.6,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,D,lg 600012 TEIC catalog event
1974,7,21,2,44,58,37.30000,-90.46000,5.0000,1.6,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,D,lg 600013 TEIC catalog event
1974,7,21,5,5,13,36.27000,-89.48000,5.0000,1.4,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,D,lg 600014 TEIC catalog event
1974,7,21,22,57,56,36.32000,-89.58000,5.0000,1.3,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,D,lg 600015 TEIC catalog event
1974,7,22,0,28,14,36.27000,-89.49000,5.0000,1.5,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,D,lg 600016 TEIC catalog event
1974,7,23,23,32,48,36.58000,-89.74000,5.0000,1.4,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,D,lg 600017 TEIC catalog event
1974,7,24,0,31,40,37.97000,-90.36000,5.0000,1.7,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,D,lg 600018 TEIC catalog event
1974,7,24,9,22,44,36.52000,-89.69000,5.0000,1.5,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,D,lg 600019 TEIC catalog event
1974,7,24,10,50,49,36.45000,-89.56000,5.0000,1.6,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,D,lg 600020 TEIC catalog event
1974,7,26,4,4,26,36.19000,-89.43000,5.0000,1.4,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,D,lg 600021 TEIC catalog event
1974,7,26,22,3,52,37.51000,-90.90000,5.0000,2.1,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,D,lg 600022 TEIC catalog event
1974,7,27,3,32,48,37.61000,-89.92000,5.0000,1.7,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,D,lg 600023 TEIC catalog event
1974,7,29,10,27,28,37.88000,-88.69000,5.0000,1.9,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,D,lg 600024 TEIC catalog event
1974,7,30,16,9,44,37.12000,-89.12000,5.0000,1.7,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,D,lg 600026 TEIC catalog event
1974,7,31,14,5,26,35.80000,-90.10000,5.0000,1.8,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,D,lg 600027 TEIC catalog event
1974,7,31,21,46,48,37.25000,-89.12000,5.0000,1.8,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,D,lg 600028 TEIC catalog event
1974,8,1,6,23,18,36.59000,-89.60000,5.0000,1.9,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,D,lg 600029 TEIC catalog event
1974,8,1,22,9,7,38.31000,-90.57000,6.0000,2.7,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,D,lg 600030 TEIC catalog event
1974,8,2,4,58,55,36.41000,-89.49000,5.0000,1.2,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,D,lg 600031 TEIC catalog event
1974,8,3,13,27,57,36.74000,-89.47000,5.0000,1.4,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,D,lg 600032 TEIC catalog event
1974,8,6,0,34,17,36.65000,-89.57000,5.0000,1.4,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,D,lg 600033 TEIC catalog event
1974,8,6,2,50,29,36.52000,-89.60000,5.0000,1.4,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,D,lg 600034 TEIC catalog event
1974,8,7,10,29,43,35.98000,-89.79000,5.0000,1.3,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,D,lg 600035 TEIC catalog event
1974,8,8,3,50,33,36.62000,-89.61000,5.0000,1.6,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,D,lg 600036 TEIC catalog event
1974,8,8,22,1,8,36.36000,-89.51000,5.0000,1.5,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,D,lg 600037 TEIC catalog event
1974,8,9,9,32,13,38.14000,-90.15000,5.0000,2.3,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,D,lg 600038 TEIC catalog event
1974,8,9,12,2,52,36.49000,-89.54000,5.0000,1.5,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,D,lg 600039 TEIC catalog event
1974,8,9,18,6,32,36.36000,-89.50000,5.0000,1.6,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,D,lg 600040 TEIC catalog event
1974,8,10,20,38,28,35.77000,-90.15000,5.0000,2.2,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,D,lg 600041 TEIC catalog event
1974,8,11,14,29,43,36.82000,-91.29000,5.0000,3.6,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,D,lg 600042 TEIC catalog event
